alligator lizard,0.8,anguid_lizard,lizard,saurian,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"Gila monster, Heloderma suspectum",1.18,venomous_lizard,lizard,saurian,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"green lizard, Lacerta viridis",0.1,lacertid_lizard,lizard,saurian,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"African chameleon, Chamaeleo chamaeleon",1.16,chameleon,lizard,saurian,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",1.08,monitor,lizard,saurian,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"African crocodile, Nile crocodile, Crocodylus niloticus",0.94,crocodile,crocodile,crocodilian_reptile,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"American alligator, Alligator mississipiensis",1.66,alligator,alligator,crocodilian_reptile,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
triceratops,1.2,ornithischian,dinosaur,archosaur,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"thunder snake, worm snake, Carphophis amoenus",0.54,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"ringneck snake, ring-necked snake, ring snake",0.54,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"hognose snake, puff adder, sand viper",0.36,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"green snake, grass snake",0.42,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"king snake, kingsnake",0.14,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"garter snake, grass snake",0.42,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
water snake,0.76,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
vine snake,1.06,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"night snake, Hypsiglena torquata",0.38,colubrid_snake,colubrid_snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"boa constrictor, Constrictor constrictor",0.74,boa,constrictor,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"rock python, rock snake, Python sebae",0.12,boa,constrictor,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"Indian cobra, Naja naja",0.58,cobra,elapid,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
green mamba,0.28,mamba,elapid,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
sea snake,0.46,snake,snake,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",1.08,viper,viper,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.06,pit_viper,viper,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
"sidewinder, horned rattlesnake, Crotalus cerastes",0.56,pit_viper,viper,snake,diapsid,reptile,vertebrate,chordate,animal,organism,living_thing
trilobite,0.38,arthropod,arthropod,arthropod,arthropod,arthropod,arthropod,invertebrate,animal,organism,living_thing
"harvestman, daddy longlegs, Phalangium opilio",0.62,arachnid,arachnid,arachnid,arachnid,arachnid,arthropod,invertebrate,animal,organism,living_thing
scorpion,0.02,arachnid,arachnid,arachnid,arachnid,arachnid,arthropod,invertebrate,animal,organism,living_thing
"black and gold garden spider, Argiope aurantia",0.58,spider,spider,spider,spider,arachnid,arthropod,invertebrate,animal,organism,living_thing
"barn spider, Araneus cavaticus",0.56,spider,spider,spider,spider,arachnid,arthropod,invertebrate,animal,organism,living_thing
"garden spider, Aranea diademata",0,spider,spider,spider,spider,arachnid,arthropod,invertebrate,animal,organism,living_thing
"black widow, Latrodectus mactans",0.78,spider,spider,spider,spider,arachnid,arthropod,invertebrate,animal,organism,living_thing
tarantula,0.14,spider,spider,spider,spider,arachnid,arthropod,invertebrate,animal,organism,living_thing
"wolf spider, hunting spider",0.66,spider,spider,spider,spider,arachnid,arthropod,invertebrate,animal,organism,living_thing
tick,0.18,acarine,acarine,acarine,acarine,arachnid,arthropod,invertebrate,animal,organism,living_thing
centipede,0.86,arthropod,arthropod,arthropod,arthropod,arthropod,arthropod,invertebrate,animal,organism,living_thing
black grouse,0.3,grouse,grouse,game_bird,gallinaceous_bird,bird,vertebrate,chordate,animal,organism,living_thing
ptarmigan,0.48,grouse,grouse,game_bird,gallinaceous_bird,bird,vertebrate,chordate,animal,organism,living_thing
"ruffed grouse, partridge, Bonasa umbellus",0.24,grouse,grouse,game_bird,gallinaceous_bird,bird,vertebrate,chordate,animal,organism,living_thing
"prairie chicken, prairie grouse, prairie fowl",0.46,grouse,grouse,game_bird,gallinaceous_bird,bird,vertebrate,chordate,animal,organism,living_thing
peacock,0.56,pheasant,phasianid,game_bird,gallinaceous_bird,bird,vertebrate,chordate,animal,organism,living_thing
quail,0.38,phasianid,phasianid,game_bird,gallinaceous_bird,bird,vertebrate,chordate,animal,organism,living_thing
partridge,0.14,phasianid,phasianid,game_bird,gallinaceous_bird,bird,vertebrate,chordate,animal,organism,living_thing
"African grey, African gray, Psittacus erithacus",0.3,parrot,parrot,parrot,parrot,bird,vertebrate,chordate,animal,organism,living_thing
macaw,1.12,parrot,parrot,parrot,parrot,bird,vertebrate,chordate,animal,organism,living_thing
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.18,cockatoo,cockatoo,cockatoo,parrot,bird,vertebrate,chordate,animal,organism,living_thing
lorikeet,0.12,lory,lory,lory,parrot,bird,vertebrate,chordate,animal,organism,living_thing
coucal,0.82,cuckoo,cuckoo,cuckoo,cuculiform_bird,bird,vertebrate,chordate,animal,organism,living_thing
bee eater,0.64,coraciiform_bird,coraciiform_bird,coraciiform_bird,coraciiform_bird,bird,vertebrate,chordate,animal,organism,living_thing
hornbill,1.08,coraciiform_bird,coraciiform_bird,coraciiform_bird,coraciiform_bird,bird,vertebrate,chordate,animal,organism,living_thing
hummingbird,1,apodiform_bird,apodiform_bird,apodiform_bird,apodiform_bird,bird,vertebrate,chordate,animal,organism,living_thing
jacamar,0.58,piciform_bird,piciform_bird,piciform_bird,piciform_bird,bird,vertebrate,chordate,animal,organism,living_thing
toucan,0.3,piciform_bird,piciform_bird,piciform_bird,piciform_bird,bird,vertebrate,chordate,animal,organism,living_thing
drake,0.2,duck,anseriform_bird,waterfowl,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"red-breasted merganser, Mergus serrator",0.54,duck,anseriform_bird,waterfowl,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
goose,0.82,anseriform_bird,anseriform_bird,waterfowl,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"black swan, Cygnus atratus",0.28,swan,swan,swan,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
tusker,0.24,mammal,mammal,mammal,mammal,mammal,vertebrate,chordate,animal,organism,living_thing
"echidna, spiny anteater, anteater",0.8,monotreme,monotreme,monotreme,prototherian,mammal,vertebrate,chordate,animal,organism,living_thing
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",0.54,monotreme,monotreme,monotreme,prototherian,mammal,vertebrate,chordate,animal,organism,living_thing
"wallaby, brush kangaroo",0.6,kangaroo,kangaroo,marsupial,metatherian,mammal,vertebrate,chordate,animal,organism,living_thing
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.7,phalanger,phalanger,marsupial,metatherian,mammal,vertebrate,chordate,animal,organism,living_thing
wombat,0.44,marsupial,marsupial,marsupial,metatherian,mammal,vertebrate,chordate,animal,organism,living_thing
jellyfish,1.08,coelenterate,coelenterate,coelenterate,coelenterate,coelenterate,coelenterate,invertebrate,animal,organism,living_thing
