ID,Antenna,RSSI,LQ,SNR,PWR,FHSS,PFD,NU
40915,0,-91,100,8,0,47,0,1
40916,0,-91,100,8,0,47,-1,1
40921,0,-84,96,10,0,19,0,1
40922,0,-84,96,10,0,19,-5,1
40923,0,-83,96,10,0,19,13,1
40924,0,-83,96,10,0,19,-2,1
40925,0,-82,96,10,0,15,-5,1
40926,0,-82,96,11,0,15,-3,1
40927,0,-82,96,11,0,15,-2,1
40928,0,-82,96,11,0,15,-3,1
40929,0,-82,96,10,0,16,-3,1
40930,0,-81,96,11,0,16,0,1
40931,0,-82,96,10,0,16,-3,1
40932,0,-82,96,11,0,16,2,1
40933,0,-80,96,11,0,64,3,1
40934,0,-80,96,10,0,64,3,1
40935,0,-80,96,11,0,64,2,1
40936,0,-80,96,10,0,64,21,1
40937,0,-87,96,9,0,31,2,1
40938,0,-86,96,6,0,31,4,1
40939,0,-86,96,4,0,31,3,1
40940,0,-87,96,9,0,31,2,1
40941,0,-81,96,10,0,17,-1,1
40942,0,-81,96,10,0,17,1,1
40943,0,-81,96,10,0,17,1,1
40944,0,-81,96,10,0,17,0,1
40945,0,-86,96,10,0,54,1,1
40946,0,-86,96,10,0,54,-1,1
40947,0,-85,96,10,0,54,0,1
40948,0,-85,96,10,0,54,15,1
40949,0,-83,96,11,0,59,-1,1
40950,0,-82,96,10,0,59,-2,1
40951,0,-82,96,10,0,59,-3,1
40952,0,-82,96,10,0,59,-5,1
40953,0,-83,96,10,0,56,-5,1
40954,0,-83,96,10,0,56,-4,1
40955,0,-82,96,10,0,56,-6,1
40956,0,-82,96,10,0,56,-4,1
41008,0,-79,96,11,0,50,-2,1
41009,0,-79,96,11,0,50,-1,1
41010,0,-78,96,9,0,50,22,1
41011,0,-79,96,10,0,50,1,1
41012,0,-78,96,11,0,35,-1,1
41013,0,-78,96,11,0,35,-1,1
41014,0,-78,96,10,0,35,-3,1
41015,0,-78,96,11,0,35,-1,1
41016,0,-82,96,11,0,23,-3,1
41017,0,-82,97,10,0,23,-6,1
41018,0,-82,98,11,0,23,-2,1
41019,0,-82,99,10,0,23,-1,1
41020,0,-82,100,10,0,21,-2,1
41021,0,-82,100,9,0,21,0,1
41022,0,-83,100,10,0,21,15,1
41023,0,-83,100,10,0,21,0,1
41024,0,-83,100,-4,0,44,-2,1
41028,0,-83,97,10,0,72,0,1
41029,0,-83,97,10,0,72,0,1
41030,0,-84,97,11,0,72,1,1
41031,0,-84,97,11,0,72,2,1
41032,0,-94,97,9,0,36,3,1
41033,0,-97,97,7,0,36,1,1
41034,0,-100,97,5,0,36,2,1
41035,0,-99,97,4,0,36,21,1
41037,0,-91,96,10,0,3,0,1
41038,0,-93,96,9,0,3,2,1
41039,0,-95,96,8,0,3,0,1
41040,0,-81,96,12,0,64,1,1
41041,0,-81,96,10,0,64,-4,1
41042,0,-80,96,11,0,64,-1,1
41043,0,-79,96,12,0,64,1,1
41044,0,-80,96,11,0,59,0,1
41045,0,-80,96,12,0,59,-3,1
41046,0,-79,96,10,0,59,1,1
41047,0,-79,96,12,0,59,18,1
41048,0,-82,96,9,0,39,4,1
41049,0,-82,96,10,0,39,1,1
41050,0,-82,96,11,0,39,-1,1
41051,0,-82,96,10,0,39,3,1
41052,0,-82,96,11,0,42,3,1
41053,0,-81,96,10,0,42,1,1
