location,date,avg_t,min_t,max_t
제주,2022-03-06,6.4,4.5,10.0
제주,2022-03-07,7.5,4.6,11.5
제주,2022-03-08,9.5,5.0,14.1
제주,2022-03-09,11.0,7.5,15.1
제주,2022-03-10,12.5,6.5,17.7
제주,2022-03-11,16.5,12.3,21.4
제주,2022-03-12,17.0,12.9,22.3
제주,2022-03-13,17.7,13.9,20.3
제주,2022-03-14,13.8,9.6,17.1
제주,2022-03-15,10.4,6.3,14.5
제주,2022-03-16,13.7,9.0,18.4
제주,2022-03-17,13.4,11.3,17.2
제주,2022-03-18,10.3,8.9,11.8
제주,2022-03-19,7.7,6.3,9.4
제주,2022-03-20,7.9,6.6,10.2
제주,2022-03-21,9.3,6.4,12.2
제주,2022-03-22,9.4,7.1,12.5
제주,2022-03-23,9.0,6.6,12.8
제주,2022-03-24,11.2,5.3,15.4
제주,2022-03-25,16.4,9.3,21.1
제주,2022-03-26,12.1,9.0,21.4
제주,2022-03-27,12.7,8.5,18.5
제주,2022-03-28,10.8,7.3,14.5
제주,2022-03-29,13.1,8.7,16.9
제주,2022-03-30,15.4,11.5,19.8
제주,2022-03-31,11.5,9.5,14.4
