File 1,File 2,Lines Matched
../mysql-files/source/1012/0037a7253ba869b3 (44%),../mysql-files/source/1012/4313a827915bd (46%),25
../mysql-files/source/1012/26b2885e2fb (61%),../mysql-files/source/1012/dea75b4b664 (48%),19
../mysql-files/source/1012/63f5402f83e190f (40%),../mysql-files/source/1012/9ba1e71ad7c58e00c (41%),15
../mysql-files/source/1012/4ed341a9b53ca1 (51%),../mysql-files/source/1012/26e15ff4bfc617f (35%),23
../mysql-files/source/1012/d5104d2cc0444 (49%),../mysql-files/source/1012/28b5dbf2b7f8d (49%),31
../mysql-files/source/1012/8b6f801d8063302 (62%),../mysql-files/source/1012/a6727f9484b8 (59%),22
../mysql-files/source/1012/5e8e1fcfbf85c (49%),../mysql-files/source/1012/18ae6e7a782e5 (47%),23
../mysql-files/source/1012/728c9f816ff82cb0 (43%),../mysql-files/source/1012/e3100b3c4f00 (36%),19
../mysql-files/source/1012/a19dfd289cfac70 (33%),../mysql-files/source/1012/7aed9c7e31121 (35%),23
../mysql-files/source/1012/db2fee422d9f (41%),../mysql-files/source/1012/a0188625076dd2e9 (33%),27
../mysql-files/source/1012/d77924e16ae59f27c (37%),../mysql-files/source/1012/728c9f816ff82cb0 (38%),26
../mysql-files/source/1012/79d3ba7fafe57a42 (47%),../mysql-files/source/1012/068aecea2cc4 (43%),27
../mysql-files/source/1012/0037a7253ba869b3 (28%),../mysql-files/source/1012/d9b9fe67ddbc7f05 (25%),29
../mysql-files/source/1012/6de417be4c5af (44%),../mysql-files/source/1012/b4ae541d01 (38%),20
../mysql-files/source/1012/1a3abcea57f85 (41%),../mysql-files/source/1012/d9b6a9b30ec8893 (44%),15
../mysql-files/source/1012/0634a1270bc2b974 (33%),../mysql-files/source/1012/e7ba47d7649e (36%),19
../mysql-files/source/1012/e7ba47d7649e (35%),../mysql-files/source/1012/a0188625076dd2e9 (30%),17
../mysql-files/source/1012/0584df69d127750e (39%),../mysql-files/source/1012/28b5dbf2b7f8d (36%),17
../mysql-files/source/1012/0584df69d127750e (39%),../mysql-files/source/1012/d5104d2cc0444 (36%),17
../mysql-files/source/1012/901e9ea1939820a9e (25%),../mysql-files/source/1012/49e6a8b674 (43%),16
../mysql-files/source/1012/ef5baf199cc4000 (34%),../mysql-files/source/1012/9ba1e71ad7c58e00c (28%),11
../mysql-files/source/1012/17e5d7614cbda (21%),../mysql-files/source/1012/9ba1e71ad7c58e00c (28%),24
../mysql-files/source/1012/0eac437afec3 (27%),../mysql-files/source/1012/17e5d7614cbda (21%),19
../mysql-files/source/1012/054e5d320f690566 (34%),../mysql-files/source/1012/62581ae9bfa697c6f0d (44%),20
../mysql-files/source/1012/4c6e6598178699fb (46%),../mysql-files/source/1012/27ade47d46ad1bc (32%),24
../mysql-files/source/1012/a740eb800e1c (44%),../mysql-files/source/1012/85a8ce3e3fc50c (44%),22
../mysql-files/source/1012/0e1c98796810e (28%),../mysql-files/source/1012/4313a827915bd (26%),27
../mysql-files/source/1012/a19dfd289cfac70 (25%),../mysql-files/source/1012/18ae6e7a782e5 (35%),13
../mysql-files/source/1012/881d9a932d44 (31%),../mysql-files/source/1012/18ae6e7a782e5 (35%),23
../mysql-files/source/1012/881d9a932d44 (31%),../mysql-files/source/1012/a19dfd289cfac70 (25%),23
../mysql-files/source/1012/5e8e1fcfbf85c (36%),../mysql-files/source/1012/a19dfd289cfac70 (25%),14
../mysql-files/source/1012/5e8e1fcfbf85c (36%),../mysql-files/source/1012/881d9a932d44 (31%),23
../mysql-files/source/1012/c71de84b3af84b1 (26%),../mysql-files/source/1012/d9b9fe67ddbc7f05 (22%),22
../mysql-files/source/1012/c818472d17d8b (37%),../mysql-files/source/1012/1a9d8bb5c8fb (40%),13
../mysql-files/source/1012/c71de84b3af84b1 (26%),../mysql-files/source/1012/f7fc6b1856baf0ae (38%),17
../mysql-files/source/1012/d816f7f2ccccb8 (23%),../mysql-files/source/1012/4313a827915bd (25%),10
../mysql-files/source/1012/4122cf5534845cf (28%),../mysql-files/source/1012/a0188625076dd2e9 (25%),16
../mysql-files/source/1012/5e1a9dad7e4c (24%),../mysql-files/source/1012/7369ba250f10a0 (19%),22
../mysql-files/source/1012/6de417be4c5af (38%),../mysql-files/source/1012/4c6e6598178699fb (42%),18
../mysql-files/source/1012/c01b4f5d657bef (27%),../mysql-files/source/1012/17e5d7614cbda (19%),18
../mysql-files/source/1012/454cc85f8942 (25%),../mysql-files/source/1012/b4ae541d01 (31%),22
../mysql-files/source/1012/9451130ee42a844d (31%),../mysql-files/source/1012/5fb414a67df (30%),21
../mysql-files/source/1012/9b391b1cb815522a (38%),../mysql-files/source/1012/5701506361423b7b (30%),12
../mysql-files/source/1012/0cff6d515da0a (21%),../mysql-files/source/1012/d03d209d1f (27%),23
../mysql-files/source/1012/42a4880b2b44a (22%),../mysql-files/source/1012/154046daba2e (23%),19
../mysql-files/source/1012/e7ba47d7649e (28%),../mysql-files/source/1012/73bf62066 (33%),15
../mysql-files/source/1012/d83867627ecc391 (23%),../mysql-files/source/1012/9ba1e71ad7c58e00c (23%),20
../mysql-files/source/1012/5701506361423b7b (29%),../mysql-files/source/1012/7aed9c7e31121 (23%),12
../mysql-files/source/1012/9b391b1cb815522a (37%),../mysql-files/source/1012/7aed9c7e31121 (23%),12
../mysql-files/source/1012/4c6e6598178699fb (39%),../mysql-files/source/1012/b4ae541d01 (30%),16
