역 번호,역명,역간거리,소재지,소재지.1
115,설화명곡,-,대구광역시,달성군
116,화원,1.2,대구광역시,달성군
117,대곡(정부대구청사),1.3,대구광역시,달서구
118,진천(보강병원),1,대구광역시,달서구
119,월배,0.8,대구광역시,달서구
120,상인(대구보훈병원),0.7,대구광역시,달서구
121,월촌,0.9,대구광역시,달서구
122,송현(참조은병원),1,대구광역시,달서구
123,서부정류장(관문시장)(대구공업대학교),0.8,대구광역시,남구
124,대명,0.8,대구광역시,남구
125,안지랑(대구가톨릭대학교병원),0.8,대구광역시,남구
126,현충로,0.7,대구광역시,남구
127,영대병원(영남이공대학교),0.7,대구광역시,남구
128,교대,0.9,대구광역시,남구
129,명덕(2·28민주운동기념회관),0.7,대구광역시,중구
130,반월당,0.8,대구광역시,중구
131,중앙로 (에듀윌 공무원학원),0.7,대구광역시,중구
132,대구역,0.7,대구광역시,북구
133,칠성시장(MS재건병원),0.8,대구광역시,북구
134,신천(경북대입구),1.2,대구광역시,동구
135,동대구역,0.9,대구광역시,동구
136,동구청(큰고개),0.9,대구광역시,동구
137,아양교(대구국제공항입구),0.8,대구광역시,동구
138,동촌(동촌유원지),1,대구광역시,동구
139,해안,1,대구광역시,동구
140,방촌,1,대구광역시,동구
141,용계(영진직업전문학교),1.1,대구광역시,동구
142,율하(항시원외과),1.2,대구광역시,동구
143,신기(신기한속내과),1.1,대구광역시,동구
144,반야월,1,대구광역시,동구
145,각산,1,대구광역시,동구
146,안심(혁신도시·첨복단지),0.9,대구광역시,동구
